OBJECTID,LIEN_WWW
"299",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=7104
"300",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=5350
"301",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=2718
"302",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=535
"303",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=5275
"304",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=2716
"305",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=4584
"306",https://ge.ch/terextraitfoncier/rapport.aspx?commune=8&parcelle=1482
"307",https://ge.ch/terextraitfoncier/rapport.aspx?commune=8&parcelle=2572
"308",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=2354
"309",https://ge.ch/terextraitfoncier/rapport.aspx?commune=32&parcelle=1709
"310",https://ge.ch/terextraitfoncier/rapport.aspx?commune=33&parcelle=13548
"311",https://ge.ch/terextraitfoncier/rapport.aspx?commune=32&parcelle=1713
"312",https://ge.ch/terextraitfoncier/rapport.aspx?commune=34&parcelle=1058
"313",https://ge.ch/terextraitfoncier/rapport.aspx?commune=34&parcelle=790
"314",https://ge.ch/terextraitfoncier/rapport.aspx?commune=32&parcelle=1847
"315",https://ge.ch/terextraitfoncier/rapport.aspx?commune=34&parcelle=896
"316",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=3867
"317",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=488
"318",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=3922
"319",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=3288
"320",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=6744
"321",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5356
"322",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=3895
"323",https://ge.ch/terextraitfoncier/rapport.aspx?commune=7&parcelle=533
"324",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=6745
"325",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5727
"326",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=3255
"327",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7415
"328",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10204
"329",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10957
"330",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10958
"331",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10849
"332",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10802
"333",https://ge.ch/terextraitfoncier/rapport.aspx?commune=4&parcelle=3135
"334",https://ge.ch/terextraitfoncier/rapport.aspx?commune=4&parcelle=3374
"335",https://ge.ch/terextraitfoncier/rapport.aspx?commune=3&parcelle=2807
"336",https://ge.ch/terextraitfoncier/rapport.aspx?commune=2&parcelle=5190
"337",https://ge.ch/terextraitfoncier/rapport.aspx?commune=3&parcelle=2400
"338",https://ge.ch/terextraitfoncier/rapport.aspx?commune=2&parcelle=5081
"339",https://ge.ch/terextraitfoncier/rapport.aspx?commune=3&parcelle=2525
